Indicator	Country	Region	RegionName	FB	NonFBCompValue	Diff	country_mean_DIFF	quartile
ShareMig	AUS	AU1	New South Wales	32.85613117	13.18334198		13.18334198	4
ShareMig	AUS	AU2	Victoria	32.82743691	13.18334198		13.18334198	4
ShareMig	AUS	AU3	Queensland	25.52690535	13.18334198		13.18334198	4
ShareMig	AUS	AU4	South Australia	26.31263964	13.18334198		13.18334198	4
ShareMig	AUS	AU5	Western Australia	39.271369	13.18334198		13.18334198	4
ShareMig	AUS	AU6	Tasmania	12.51315789	13.18334198		13.18334198	3
ShareMig	AUS	AU7	Northern Territory	28.60946746	13.18334198		13.18334198	4
ShareMig	AUS	AU8	Australian Capital Territory	29.88387978	13.18334198		13.18334198	4
ChangeShareMig	AUS	AU1	New South Wales	-2.69058609	-2.69058609		13.18334198	1
ChangeShareMig	AUS	AU2	Victoria	-2.014381409	-2.014381409		13.18334198	1
ChangeShareMig	AUS	AU3	Queensland	-2.639297485	-2.639297485		13.18334198	1
ChangeShareMig	AUS	AU4	South Australia	-3.375005722	-3.375005722		13.18334198	1
ChangeShareMig	AUS	AU5	Western Australia	-0.295501709	-0.295501709		13.18334198	1
ChangeShareMig	AUS	AU6	Tasmania	-6.653353691	-6.653353691		13.18334198	1
ChangeShareMig	AUS	AU7	Northern Territory	1.865077972	1.865077972		13.18334198	3
ChangeShareMig	AUS	AU8	Australian Capital Territory	-1.064474106	-1.064474106		13.18334198	1
lengthStay	AUS	AU1	New South Wales	32.38101258	67.58106314	35.20005057	21.60098648	3
lengthStay	AUS	AU2	Victoria	39.06987724	60.89864652	21.82876928	21.60098648	2
lengthStay	AUS	AU3	Queensland	41.48262947	58.77566835	17.29303887	21.60098648	2
lengthStay	AUS	AU4	South Australia	39.47761194	60.82089552	21.34328358	21.60098648	2
lengthStay	AUS	AU5	Western Australia	45.257492	55.19348269	9.93599069	21.60098648	1
lengthStay	AUS	AU6	Tasmania	35.26315789	64.73684211	29.47368421	21.60098648	2
lengthStay	AUS	AU7	Northern Territory	48.22222222	51.11111111	2.888888889	21.60098648	1
lengthStay	AUS	AU8	Australian Capital Territory	32.8611898	67.70538244	34.84419263	21.60098648	3
PartRate	AUS	AU1	New South Wales	74.62998102	76.11333621	1.483355187	3.137746096	2
PartRate	AUS	AU2	Victoria	71.47669848	78.97330211	7.496603624	3.137746096	4
PartRate	AUS	AU3	Queensland	76.65065642	78.45204423	1.801387807	3.137746096	3
PartRate	AUS	AU4	South Australia	70.8631116	78.11494811	7.25183651	3.137746096	4
PartRate	AUS	AU5	Western Australia	79.22106825	79.67229668	0.451228428	3.137746096	2
PartRate	AUS	AU6	Tasmania	70.93333333	75.66165023	4.7283169	3.137746096	3
PartRate	AUS	AU7	Northern Territory	85.71428571	81.81419807	-3.900087642	3.137746096	1
PartRate	AUS	AU8	Australian Capital Territory	77.30220493	83.09153258	5.789327648	3.137746096	3
Unemp	AUS	AU1	New South Wales	5.390287312	6.026995305	-0.636707993	0.140640154	1
Unemp	AUS	AU2	Victoria	6.67152957	5.833649649	0.837879921	0.140640154	2
Unemp	AUS	AU3	Queensland	6.424931072	6.205615645	0.219315427	0.140640154	2
Unemp	AUS	AU4	South Australia	7.525213344	7.520783156	0.004430188	0.140640154	1
Unemp	AUS	AU5	Western Australia	5.178387489	5.207673253	-0.029285764	0.140640154	1
Unemp	AUS	AU6	Tasmania	6.390977444	6.995884774	-0.60490733	0.140640154	1
Unemp	AUS	AU7	Northern Territory	2.4	4.284949116	-1.884949116	0.140640154	1
Unemp	AUS	AU8	Australian Capital Territory	6.711409396	3.492063492	3.219345904	0.140640154	2
eduattain	AUS	AU1	New South Wales	53.34690272	34.90823897	-18.43866375	-16.43298912	1
eduattain	AUS	AU2	Victoria	53.51536534	40.02506019	-13.49030515	-16.43298912	1
